text,label
"This laptop exceeded every expectation I had, the battery lasts all day and it never lags.",positive
"Absolutely love this coffee maker, brews a perfect cup every single morning without fail.",positive
"Customer support fixed my issue in five minutes and even followed up the next day, fantastic service.",positive
"The noise-cancelling headphones are a game changer for my daily commute, worth every penny.",positive
"Great value for money, this backpack has held up perfectly after a year of daily use.",positive
"Fast shipping and the product matched the description exactly, very happy with this purchase.",positive
"The blender works fine, does the job but nothing that stands out compared to other models.",neutral
"It's an average phone case, protects the phone but the material feels a bit cheap.",neutral
"Delivery took about a week, which is standard, and the item was packaged adequately.",neutral
"The monitor does what it says on the box, no complaints but no surprises either.",neutral
"Decent price for the features included, though I probably wouldn't buy it again.",neutral
"The manual was confusing in a couple of places but I eventually figured out the setup.",neutral
"This vacuum stopped working after two weeks and support never responded to my emails.",negative
"Extremely disappointed, the fabric started tearing after only a few washes.",negative
"The chair arrived with a broken leg and the return process has been a nightmare.",negative
"Way overpriced for the build quality, I regret this purchase completely.",negative
"App crashes constantly and the device is basically unusable for its intended purpose.",negative
"Terrible experience from start to finish, would not recommend this brand to anyone.",negative
