text,label
Keep up the good work! It's looking grand every day.,Positive
Great forum with excellent guest speakers.,Positive
You have all been so committed to this project. Great news!,Positive
"Plant palm trees along the freeway, like they did in Phoenix, instead of oak trees and crepe myrtles.",Positive
I'm glad to see NHHIP finally adding dedicated bike lanes and wider sidewalks. Safer streets for pedestrians are long overdue.,Positive
The new noise walls near my street have made a real difference. Thank you to everyone who pushed for that improvement.,Positive
Appreciate TxDOT holding these open houses and actually answering our questions about the construction timeline.,Positive
This upgrade should finally ease the daily backups on I-45. Looking forward to a smoother commute once it's finished.,Positive
Glad the design team incorporated flood mitigation improvements -- that was a major concern for our area.,Positive
"""It was not a consideration to put a highway through River Oaks or Memorial. The places most impacted by the largest roads were the places where political power was weakest in the 1960s and 1970s,"" Shelton explained.",Negative
"Thank you, Council Member Plummer. This country has a history of using federal highway expansions to remove primarily African American citizens from urban core areas for gentrification and other economic development purposes. This is part of America's racist history, from a time when African Americans didn't have political power. We should not allow this to happen in Houston, Texas, today. There are other options for highway expansion that do not require removing people from their homes. I am doing all I can to help you and spread the word about this issue. Thank you for your continued, educated, and informed political advocacy.",Negative
The contraflow signage is so confusing it might as well be a made-up children's story. Please make the signs clearer instead of blocking the road.,Negative
"These truckers who obstruct traffic through careless driving should be charged with mischief for damaging the infrastructure and causing more chaos. It is already nearly impassable to travel between Shepherd and Lockwood on this ""misguided"" freeway, especially for truckers, who should be required to use the Loop before exiting onto surface streets.",Negative
They've done little about the noisy disaster that is I-10 -- not even sound walls or new bus routes. Some of the worst elected officials we've ever had.,Negative
We may need to do this again! There was a lot of confusion about the entrances and exits!,Negative
"Now, how much of that $20 million will actually go toward its intended purpose? That's another question entirely, isn't it?",Negative
"Our family has lived in this neighborhood for three generations, and now TxDOT wants to take our home for a wider freeway. This project is destroying communities, not helping them.",Negative
"The construction dust and noise from this project have made it impossible to sit outside, and the promised sound walls still haven't been built two years later.",Negative
What were the results of the formal survey that was sent out? Have they been released?,Neutral
"I signed up to speak on a list that was passed around at a community meeting last week. I will not be able to attend the meeting on July 25 or the planning meeting on July 26, as I will be out of town until late on the 25th. Do I need to register in advance to speak on July 26? Can anyone advise? Thank you in advance.",Neutral
Melissa Diaz's deadline is Monday at noon.,Neutral
Does anyone know which exit ramps will be closed during the next phase of construction?,Neutral
The next public meeting on the NHHIP segment is scheduled for the second Tuesday of next month.,Neutral
Where can I find the updated construction schedule and maps for this segment of the project?,Neutral
TxDOT says utility relocation work will begin before the main roadway construction starts.,Neutral
I attended the last community meeting and took notes if anyone wants a copy.,Neutral
The environmental impact statement for this segment is over 500 pages long.,Neutral
