text,label
"Best meal I've had all year, the staff were attentive and the flavors were incredible.",positive
"We came back for the third time this month, consistently excellent food and service.",positive
"The new chef has really elevated the menu, every dish felt thoughtfully prepared.",positive
"Loved the cozy atmosphere and the waiter recommended the perfect wine pairing.",positive
"Reservation was easy, food arrived quickly, and everything tasted fresh.",positive
"It was a fine meal, nothing memorable but nothing wrong with it either.",neutral
"Service was a bit slow but the food itself was acceptable for the price.",neutral
"The portion sizes were smaller than expected, though the taste was okay.",neutral
"Average experience overall, we might try it again if we're in the area.",neutral
"The restaurant was fine, just not as good as the reviews led us to believe.",neutral
"Waited over an hour for a table despite having a reservation, very frustrating.",negative
"The food was cold when it arrived and the waiter never came back to check on us.",negative
"Overpriced for the quality, I've had better food at a fraction of the cost.",negative
"Found a hair in my meal and the manager barely apologized, will not return.",negative
"Extremely rude staff and the order was completely wrong when it finally arrived.",negative
